 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.899999976    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 beta =       1.00000000    
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
   360 33777  9304  4781  4695    50  0.073 0.187 0.740 0.044 0.114 0.842
   365 33840  9346  4720  4654    50  0.072 0.186 0.742 0.044 0.116 0.840
   370 33478  9304  4594  4664    50  0.071 0.185 0.744 0.043 0.114 0.842
   375 33040  9216  4659  4515    50  0.070 0.182 0.748 0.043 0.114 0.843
   380 33333  9337  4633  4575    50  0.069 0.182 0.749 0.043 0.116 0.841
   385 32932  9142  4705  4482    50  0.069 0.181 0.750 0.043 0.113 0.844
   390 32844  9204  4640  4476    50  0.068 0.179 0.753 0.042 0.113 0.845
   395 32521  9110  4628  4350    50  0.067 0.177 0.756 0.042 0.111 0.847
   400 32642  8860  4693  4445    50  0.067 0.176 0.758 0.042 0.110 0.848
   405 31740  9005  4513  4276    50  0.066 0.174 0.760 0.042 0.111 0.848
   410 31900  9019  4653  4214    50  0.066 0.173 0.761 0.042 0.110 0.849
   415 31997  8840  4594  4281    50  0.065 0.171 0.763 0.041 0.109 0.849
   420 32035  8901  4768  4274    50  0.065 0.170 0.765 0.041 0.108 0.851
   425 31808  8855  4695  4100    50  0.064 0.169 0.766 0.040 0.108 0.852
   430 31649  9005  4590  4095    50  0.064 0.168 0.768 0.040 0.107 0.853
   435 31718  8885  4608  4209    50  0.064 0.167 0.770 0.040 0.107 0.853
   440 31517  8861  4685  4129    50  0.063 0.166 0.771 0.040 0.108 0.852
   445 31079  8814  4571  4008    50  0.063 0.166 0.771 0.041 0.106 0.853
   450 30939  8585  4616  4076    50  0.063 0.165 0.771 0.041 0.106 0.853
   455 30821  8614  4620  3975    50  0.063 0.165 0.772 0.041 0.107 0.852
   460 30783  8556  4715  3993    50  0.063 0.164 0.773 0.041 0.107 0.853
   465 30838  8544  4669  4024    50  0.063 0.163 0.774 0.041 0.107 0.852
   470 30968  8776  4837  4050    50  0.063 0.162 0.775 0.041 0.107 0.852
   475 30677  8461  4475  3974    50  0.062 0.161 0.777 0.040 0.105 0.855
   480 30222  8529  4643  3929    50  0.062 0.160 0.778 0.040 0.106 0.854
   485 29956  8403  4510  3816    50  0.061 0.158 0.781 0.040 0.105 0.855
   490 30234  8438  4488  3902    50  0.061 0.156 0.784 0.040 0.105 0.854
   495 29758  8340  4533  3644    50  0.061 0.155 0.784 0.040 0.104 0.856
   500 29906  8279  4662  3761    50  0.061 0.155 0.784 0.040 0.104 0.856
   505 29800  8424  4569  3722    50  0.061 0.155 0.785 0.040 0.104 0.856
   510 29468  8264  4516  3741    50  0.060 0.154 0.786 0.040 0.103 0.857
   515 29530  8325  4570  3708    50  0.061 0.154 0.786 0.040 0.104 0.856
   520 29265  8499  4626  3583    50  0.061 0.154 0.786 0.040 0.103 0.857
   525 29528  8217  4556  3725    50  0.061 0.153 0.786 0.040 0.103 0.857
   530 29562  8249  4662  3667    50  0.061 0.152 0.787 0.040 0.103 0.858
