 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.349999994    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
   365 59968 17140 11200  5823    50  0.337 0.256 0.407 0.070 0.055 0.875
   370 60030 17035 11286  5759    50  0.337 0.256 0.406 0.073 0.057 0.869
   375 60036 17166 11295  5726    50  0.338 0.257 0.405 0.073 0.058 0.869
   380 59848 17146 11109  5565    50  0.337 0.256 0.407 0.074 0.058 0.868
   385 60300 16963 11462  5784    50  0.337 0.255 0.407 0.074 0.058 0.869
   390 60125 17114 11385  5593    50  0.337 0.254 0.409 0.073 0.058 0.869
   395 60057 17339 11458  5871    50  0.336 0.254 0.410 0.074 0.058 0.868
   400 60034 17125 11336  5796    50  0.336 0.253 0.410 0.074 0.058 0.869
   405 60201 16926 11395  5625    50  0.335 0.252 0.413 0.072 0.056 0.873
   410 60252 17066 11446  5721    50  0.336 0.252 0.413 0.071 0.056 0.873
   415 59989 16987 11465  5767    50  0.335 0.251 0.414 0.071 0.056 0.874
   420 59939 17005 11415  5668    50  0.335 0.250 0.415 0.071 0.056 0.874
   425 59761 17042 11351  5639    50  0.335 0.250 0.415 0.069 0.055 0.876
   430 59953 17095 11499  5600    50  0.335 0.249 0.416 0.071 0.056 0.874
   435 59902 17065 11373  5701    50  0.333 0.248 0.419 0.070 0.055 0.875
   440 60220 17084 11438  5533    50  0.333 0.248 0.419 0.070 0.054 0.876
   445 59739 17041 11408  5561    50  0.333 0.247 0.420 0.071 0.055 0.875
   450 59889 16923 11545  5619    50  0.333 0.246 0.420 0.071 0.055 0.874
   455 59949 16640 11475  5558    50  0.333 0.246 0.420 0.071 0.054 0.875
   460 59751 16938 11427  5634    50  0.334 0.246 0.420 0.070 0.054 0.877
   465 59730 16910 11537  5516    50  0.334 0.246 0.420 0.070 0.054 0.876
   470 59439 17167 11355  5515    50  0.332 0.245 0.423 0.069 0.053 0.877
   475 59709 17020 11378  5587    50  0.333 0.245 0.422 0.069 0.053 0.878
   480 59584 17039 11551  5472    50  0.333 0.244 0.423 0.072 0.055 0.873
   485 59969 16915 11490  5585    50  0.332 0.243 0.425 0.072 0.056 0.872
   490 59732 17031 11444  5515    50  0.332 0.242 0.426 0.073 0.055 0.872
   495 59800 17017 11410  5610    50  0.331 0.242 0.427 0.074 0.057 0.869
   500 59752 16808 11344  5566    50  0.330 0.241 0.429 0.075 0.057 0.868
   505 59602 16946 11368  5502    50  0.329 0.240 0.431 0.074 0.057 0.869
   510 59470 17007 11455  5532    50  0.329 0.239 0.432 0.077 0.059 0.864
   515 59844 16798 11316  5570    50  0.328 0.238 0.434 0.077 0.059 0.864
   520 59438 17022 11386  5397    50  0.329 0.238 0.433 0.076 0.058 0.866
   525 59950 16664 11527  5455    50  0.328 0.239 0.433 0.076 0.058 0.866
   530 59835 16941 11452  5496    50  0.326 0.237 0.436 0.075 0.057 0.868
   535 59705 17053 11424  5506    50  0.325 0.236 0.439 0.077 0.058 0.865
   540 59488 16897 11387  5485    50  0.326 0.236 0.438 0.078 0.059 0.863
   545 59390 17023 11463  5440    50  0.325 0.236 0.439 0.077 0.058 0.865
   550 59341 17037 11621  5443    50  0.325 0.236 0.439 0.076 0.057 0.867
   555 59437 16997 11556  5422    50  0.325 0.235 0.440 0.077 0.058 0.865
   560 59455 16869 11343  5502    50  0.325 0.235 0.440 0.077 0.058 0.864
   565 59656 16998 11455  5532    50  0.326 0.234 0.440 0.078 0.059 0.863
   570 59404 17034 11437  5498    50  0.327 0.235 0.438 0.078 0.058 0.865
   575 59579 16869 11778  5378    50  0.327 0.234 0.439 0.077 0.058 0.865
   580 59363 17046 11394  5456    50  0.327 0.233 0.440 0.079 0.058 0.863
   585 59456 17040 11453  5493    50  0.327 0.233 0.440 0.077 0.057 0.866
   590 59193 17067 11654  5473    50  0.327 0.233 0.440 0.077 0.057 0.866
   595 59565 16995 11435  5476    50  0.327 0.232 0.441 0.078 0.057 0.865
   600 59370 16908 11387  5517    50  0.326 0.232 0.442 0.077 0.057 0.866
   605 59487 16770 11396  5310    50  0.327 0.232 0.441 0.076 0.056 0.868
   610 59277 16821 11322  5313    50  0.327 0.231 0.442 0.076 0.055 0.869
   615 59525 16832 11402  5486    50  0.326 0.229 0.444 0.075 0.055 0.870
   620 59397 17028 11479  5490    50  0.326 0.229 0.445 0.075 0.055 0.870
   625 59015 16870 11566  5296    50  0.327 0.229 0.444 0.075 0.055 0.870
   630 59264 16811 11792  5368    49  0.326 0.229 0.445 0.075 0.055 0.870
   635 59209 16970 11502  5443    49  0.325 0.228 0.447 0.077 0.057 0.866
   640 59516 16827 11550  5399    49  0.325 0.228 0.446 0.077 0.056 0.867
   645 59151 16814 11423  5368    49  0.325 0.228 0.448 0.078 0.057 0.865
   650 59347 16882 11531  5409    49  0.325 0.228 0.447 0.076 0.056 0.868
   655 59327 16925 11560  5416    49  0.325 0.227 0.448 0.076 0.056 0.868
   660 59250 17010 11492  5316    49  0.324 0.226 0.449 0.077 0.056 0.867
   665 59247 16944 11477  5253    49  0.324 0.226 0.450 0.075 0.055 0.870
   670 59210 16934 11532  5445    49  0.323 0.226 0.451 0.077 0.057 0.866
   675 59136 16711 11631  5287    49  0.323 0.225 0.451 0.076 0.056 0.868
   680 59150 16969 11564  5392    49  0.322 0.224 0.453 0.076 0.056 0.868
   685 59391 16808 11612  5345    49  0.322 0.225 0.453 0.077 0.057 0.867
   690 59106 16892 11626  5375    49  0.323 0.224 0.453 0.077 0.057 0.866
   695 59115 16813 11670  5328    49  0.323 0.224 0.453 0.077 0.057 0.866
   700 59050 16900 11477  5343    49  0.322 0.223 0.455 0.079 0.058 0.863
   705 59172 16878 11458  5424    49  0.321 0.223 0.457 0.080 0.058 0.862
   710 58928 17025 11590  5306    49  0.320 0.222 0.459 0.079 0.058 0.863
   715 58781 16988 11471  5322    49  0.321 0.221 0.458 0.081 0.059 0.860
   720 58920 16938 11615  5270    49  0.320 0.221 0.459 0.079 0.058 0.863
   725 58904 16880 11619  5231    49  0.319 0.220 0.461 0.081 0.059 0.861
   730 58854 16896 11599  5229    49  0.320 0.220 0.460 0.079 0.057 0.863
   735 58839 16791 11493  5156    49  0.320 0.219 0.461 0.079 0.057 0.864
   740 59076 16770 11617  5254    49  0.319 0.219 0.462 0.079 0.057 0.865
   745 58694 16896 11502  5153    49  0.319 0.218 0.463 0.079 0.057 0.865
   750 58924 16757 11741  5215    49  0.318 0.217 0.465 0.079 0.056 0.865
   755 58581 16956 11692  5113    49  0.318 0.216 0.466 0.078 0.056 0.866
   760 58714 16697 11441  5117    49  0.318 0.215 0.467 0.078 0.055 0.867
   765 58626 16797 11388  5087    49  0.317 0.214 0.469 0.079 0.057 0.864
   770 59098 16750 11828  5175    49  0.317 0.214 0.469 0.079 0.057 0.864
   775 58411 16767 11539  4987    49  0.318 0.214 0.468 0.080 0.057 0.863
