 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =       0.949999988    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.500000000    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            1000
 Myseed =         84563
 nmap =            1000
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
   365 22655  9824  4179  5605    48  0.077 0.391 0.532 0.069 0.361 0.570
   370 22432  9815  4218  5533    48  0.077 0.389 0.534 0.069 0.358 0.573
   375 22489  9903  4225  5510    48  0.077 0.388 0.535 0.069 0.358 0.573
   380 22038  9469  4165  5385    48  0.077 0.387 0.537 0.068 0.357 0.575
   385 21925  9495  4121  5438    48  0.076 0.385 0.539 0.067 0.357 0.577
   390 21995  9441  4096  5413    48  0.075 0.384 0.542 0.066 0.356 0.578
   395 21669  9620  4034  5256    48  0.075 0.382 0.543 0.066 0.355 0.579
   400 21017  9328  4001  5008    48  0.073 0.382 0.545 0.065 0.354 0.581
   405 21075  9237  3944  5187    48  0.072 0.382 0.546 0.065 0.354 0.581
   410 21383  9186  4046  5263    48  0.072 0.380 0.548 0.064 0.351 0.585
   415 21052  9276  3994  5074    48  0.071 0.379 0.550 0.065 0.355 0.581
   420 20871  9049  4089  5012    48  0.072 0.377 0.551 0.064 0.352 0.584
   425 20728  9006  4042  5035    48  0.071 0.376 0.553 0.065 0.352 0.583
   430 20497  8951  3984  4925    48  0.071 0.375 0.553 0.065 0.351 0.584
   435 19981  8767  3917  4723    48  0.072 0.375 0.553 0.065 0.353 0.582
   440 19572  8520  3933  4655    48  0.071 0.375 0.554 0.065 0.352 0.583
   445 19257  8548  3875  4523    48  0.071 0.376 0.553 0.063 0.353 0.583
   450 19373  8474  3889  4611    48  0.070 0.375 0.555 0.063 0.352 0.584
   455 19348  8362  3813  4618    48  0.070 0.374 0.556 0.063 0.353 0.584
   460 19735  8318  3942  4731    48  0.070 0.373 0.557 0.063 0.353 0.584
   465 19097  8414  3762  4636    48  0.070 0.373 0.557 0.062 0.351 0.587
   470 18426  8161  3736  4270    48  0.068 0.372 0.559 0.061 0.352 0.586
   475 18435  8225  3742  4330    48  0.068 0.373 0.559 0.062 0.353 0.585
   480 17901  7967  3674  4189    48  0.069 0.374 0.558 0.062 0.353 0.585
   485 17725  7741  3680  4068    48  0.068 0.374 0.558 0.062 0.355 0.583
   490 17744  7811  3706  4105    47  0.068 0.372 0.560 0.062 0.355 0.583
   495 17623  7564  3689  4047    47  0.067 0.372 0.561 0.061 0.354 0.585
   500 17185  7700  3576  3948    47  0.067 0.370 0.563 0.060 0.354 0.585
   505 16848  7413  3660  3770    47  0.065 0.370 0.565 0.060 0.353 0.587
   510 17040  7295  3535  3892    47  0.066 0.368 0.567 0.059 0.352 0.589
   515 16953  7400  3541  3913    47  0.065 0.367 0.568 0.059 0.354 0.587
   520 16440  7139  3449  3716    46  0.065 0.369 0.566 0.059 0.354 0.588
   525 16334  7037  3432  3749    46  0.064 0.368 0.568 0.058 0.353 0.589
   530 16224  7113  3385  3722    46  0.065 0.368 0.567 0.057 0.352 0.591
   535 16256  7200  3400  3696    46  0.064 0.369 0.566 0.057 0.353 0.590
   540 15956  6970  3454  3627    46  0.063 0.369 0.568 0.057 0.353 0.591
   545 15826  6849  3509  3558    46  0.062 0.369 0.569 0.056 0.352 0.593
   550 15795  7095  3473  3527    46  0.061 0.368 0.571 0.056 0.352 0.592
   555 15228  6647  3280  3311    46  0.061 0.366 0.573 0.055 0.352 0.593
   560 14846  6686  3262  3305    46  0.061 0.367 0.572 0.056 0.354 0.590
   565 14450  6476  3156  3117    46  0.061 0.366 0.573 0.056 0.353 0.591
   570 13996  6168  3154  3076    46  0.061 0.367 0.572 0.055 0.356 0.589
   575 14046  6241  3060  3116    45  0.061 0.368 0.570 0.056 0.356 0.588
   580 14106  6071  3081  3091    45  0.061 0.369 0.569 0.056 0.357 0.587
   585 14310  6303  3237  3154    45  0.061 0.370 0.569 0.056 0.356 0.588
   590 14325  6267  3196  3114    45  0.060 0.370 0.570 0.053 0.356 0.592
   595 14078  6211  3118  3019    45  0.061 0.369 0.570 0.053 0.356 0.590
   600 13923  6058  3062  2988    45  0.061 0.368 0.571 0.055 0.355 0.590
   605 13896  6214  3244  3045    44  0.060 0.367 0.572 0.055 0.354 0.591
   610 13385  5996  2986  2857    44  0.060 0.368 0.572 0.055 0.355 0.590
   615 12989  5803  2869  2780    44  0.061 0.367 0.572 0.056 0.357 0.587
   620 12329  5646  2818  2587    44  0.060 0.367 0.573 0.056 0.356 0.587
   625 11780  5140  2662  2438    44  0.061 0.366 0.573 0.057 0.358 0.585
   630 10881  4969  2652  2210    44  0.062 0.366 0.573 0.055 0.357 0.588
   635 10036  4553  2362  1940    44  0.061 0.365 0.575 0.054 0.356 0.590
   640  9205  4068  2236  1782    44  0.059 0.366 0.575 0.055 0.360 0.585
   645  8675  3862  2060  1658    43  0.058 0.368 0.574 0.054 0.359 0.587
   650  7990  3647  1990  1544    42  0.057 0.367 0.576 0.053 0.358 0.589
   655  7228  3337  1838  1309    42  0.058 0.367 0.575 0.053 0.359 0.588
   660  6445  2929  1659  1154    40  0.057 0.366 0.577 0.053 0.356 0.591
   665  5593  2511  1431   995    40  0.057 0.367 0.575 0.054 0.362 0.584
   670  4863  2276  1273   842    40  0.058 0.368 0.573 0.054 0.361 0.585
   675  3814  1741   994   623    40  0.059 0.367 0.574 0.054 0.363 0.583
   680  3018  1436   814   454    39  0.058 0.366 0.576 0.050 0.358 0.592
   685  2264  1160   643   323    38  0.057 0.366 0.577 0.055 0.357 0.588
   690  1721   781   489   243    37  0.056 0.367 0.578 0.052 0.362 0.586
   695  1128   554   317   135    34  0.057 0.369 0.574 0.058 0.371 0.571
