 nmt =               50
 dmf =      T
 dff =      F
 vgr =       0.100000001    
 lde =        0.00000000    
 theta =     0.500000000    
 sigma =     0.500000000    
 ssr =                1
 dr =        0.300000012    
 mr =         9.99999978E-03
 spdispr =           30
 gs =               300
 ini =            60000
 ngen =            2000
 Myseed =         84563
 nmap =              50
 Gen nind ndea nveg nspo num_mat veg_1 spo_1 mat_1 veg_2 spo_2 mat_2
   365 26665  7591  4503  3006    50  0.062 0.116 0.823 0.057 0.111 0.832
   370 26294  7502  4421  2974    50  0.061 0.115 0.824 0.056 0.110 0.834
   375 26019  7606  4437  2910    50  0.060 0.114 0.826 0.055 0.110 0.835
   380 26291  7440  4471  2966    50  0.059 0.114 0.827 0.054 0.109 0.837
   385 26084  7293  4430  2868    50  0.058 0.113 0.829 0.054 0.108 0.838
   390 25818  7339  4390  2895    50  0.057 0.112 0.830 0.052 0.108 0.839
   395 25935  7258  4402  2897    50  0.057 0.112 0.832 0.052 0.107 0.841
   400 25927  7318  4425  2913    50  0.056 0.111 0.833 0.051 0.107 0.842
   405 25543  7238  4366  2845    50  0.055 0.110 0.835 0.050 0.106 0.844
   410 25358  7160  4345  2756    50  0.054 0.110 0.836 0.049 0.105 0.846
   415 24815  7174  4410  2636    50  0.053 0.109 0.838 0.049 0.104 0.847
   420 24879  7099  4342  2665    50  0.052 0.108 0.839 0.048 0.104 0.848
   425 24697  7022  4333  2678    50  0.052 0.108 0.841 0.047 0.103 0.850
   430 24739  7031  4370  2660    50  0.051 0.107 0.842 0.046 0.103 0.851
   435 24456  6810  4296  2549    50  0.050 0.106 0.844 0.046 0.102 0.852
   440 24655  6947  4235  2656    50  0.049 0.106 0.845 0.045 0.102 0.854
   445 24323  6923  4309  2506    50  0.048 0.105 0.847 0.044 0.101 0.855
   450 24399  6882  4367  2502    50  0.048 0.104 0.848 0.044 0.100 0.856
   455 24542  6832  4331  2604    50  0.047 0.104 0.849 0.043 0.099 0.858
   460 24319  6916  4294  2629    50  0.047 0.103 0.851 0.042 0.099 0.859
   465 24118  6756  4333  2527    50  0.046 0.102 0.852 0.041 0.098 0.861
   470 23950  6735  4312  2458    50  0.045 0.102 0.853 0.040 0.098 0.862
   475 23731  6771  4267  2436    50  0.044 0.101 0.855 0.040 0.097 0.863
   480 23299  6771  4188  2310    50  0.044 0.101 0.856 0.039 0.096 0.865
   485 23467  6578  4147  2490    50  0.043 0.100 0.857 0.038 0.096 0.866
   490 23557  6755  4206  2435    50  0.042 0.100 0.858 0.037 0.095 0.867
   495 23465  6626  4317  2348    50  0.042 0.099 0.859 0.037 0.094 0.869
   500 23087  6726  4249  2341    50  0.041 0.099 0.860 0.036 0.094 0.870
   505 22782  6491  4143  2256    50  0.040 0.098 0.862 0.036 0.094 0.871
   510 22469  6474  4070  2175    50  0.040 0.097 0.863 0.035 0.093 0.871
   515 22433  6364  4138  2242    50  0.039 0.097 0.864 0.035 0.093 0.873
   520 22217  6283  4057  2159    50  0.039 0.096 0.865 0.034 0.092 0.874
   525 22211  6329  4140  2197    50  0.038 0.096 0.866 0.033 0.092 0.875
   530 22244  6344  4157  2119    50  0.037 0.095 0.867 0.033 0.091 0.876
   535 22188  6311  4162  2201    50  0.037 0.095 0.868 0.032 0.091 0.877
   540 21952  6380  4035  2208    50  0.036 0.094 0.869 0.032 0.090 0.878
   545 21780  6324  4109  2146    50  0.036 0.094 0.870 0.031 0.089 0.879
   550 21523  6334  4113  2016    50  0.035 0.094 0.871 0.031 0.089 0.880
   555 21400  5945  4022  2052    50  0.035 0.093 0.872 0.030 0.088 0.881
   560 21278  5913  4034  1942    50  0.034 0.092 0.874 0.029 0.088 0.882
   565 21115  6072  3946  1978    50  0.034 0.092 0.874 0.029 0.088 0.883
   570 20733  5988  3920  1883    50  0.033 0.091 0.876 0.028 0.087 0.885
   575 20778  5977  3939  1908    50  0.033 0.091 0.876 0.028 0.087 0.885
   580 21070  5900  4123  1948    50  0.032 0.091 0.877 0.028 0.086 0.886
   585 21235  6094  4186  1941    50  0.032 0.090 0.878 0.028 0.086 0.887
   590 20563  5887  3919  1853    50  0.032 0.090 0.879 0.027 0.085 0.888
   595 20714  5930  4012  1896    50  0.031 0.089 0.880 0.027 0.085 0.888
   600 20498  5926  3867  1974    50  0.031 0.089 0.881 0.026 0.084 0.890
   605 20311  5851  3890  1819    50  0.030 0.088 0.881 0.026 0.084 0.890
   610 20284  5683  3968  1837    50  0.030 0.088 0.882 0.026 0.083 0.891
   615 19993  5771  3970  1742    50  0.029 0.087 0.883 0.025 0.083 0.892
   620 20070  5772  3873  1746    50  0.029 0.087 0.884 0.025 0.082 0.893
   625 19796  5502  3921  1707    50  0.029 0.086 0.885 0.024 0.081 0.894
   630 20069  5814  3917  1767    50  0.028 0.086 0.886 0.024 0.081 0.894
   635 19606  5636  3937  1664    50  0.028 0.086 0.886 0.024 0.081 0.895
   640 19587  5552  3783  1702    50  0.028 0.085 0.887 0.024 0.081 0.896
   645 19395  5615  3855  1643    50  0.027 0.085 0.888 0.023 0.081 0.896
   650 19461  5765  3804  1685    50  0.027 0.085 0.889 0.023 0.080 0.897
   655 19538  5506  3865  1695    50  0.027 0.084 0.889 0.023 0.079 0.898
   660 19054  5515  3770  1580    50  0.027 0.084 0.890 0.022 0.079 0.899
   665 18983  5378  3825  1688    50  0.026 0.083 0.890 0.022 0.078 0.900
   670 18815  5447  3726  1649    50  0.026 0.083 0.891 0.022 0.078 0.900
   675 18323  5287  3650  1522    50  0.026 0.082 0.892 0.022 0.078 0.900
   680 18247  5261  3719  1595    50  0.026 0.082 0.892 0.022 0.077 0.901
   685 17872  5106  3652  1551    50  0.026 0.081 0.893 0.022 0.077 0.901
   690 17760  4919  3585  1464    50  0.026 0.081 0.893 0.021 0.077 0.902
   695 17778  5047  3699  1428    50  0.026 0.081 0.893 0.021 0.076 0.902
   700 17573  5081  3578  1424    50  0.025 0.080 0.894 0.021 0.076 0.903
   705 17469  5085  3573  1375    50  0.025 0.080 0.895 0.021 0.076 0.903
   710 17320  5032  3527  1399    50  0.025 0.080 0.896 0.021 0.076 0.903
   715 17363  5113  3547  1428    50  0.024 0.079 0.896 0.021 0.075 0.904
   720 17015  4917  3489  1387    50  0.024 0.079 0.896 0.020 0.075 0.905
   725 17409  4889  3594  1432    50  0.024 0.079 0.897 0.020 0.074 0.905
   730 17411  4961  3585  1355    50  0.024 0.079 0.897 0.020 0.074 0.906
   735 16971  4955  3533  1347    50  0.024 0.078 0.898 0.020 0.074 0.906
   740 16963  4877  3502  1318    50  0.024 0.078 0.899 0.020 0.074 0.907
   745 17062  4928  3626  1312    50  0.024 0.077 0.899 0.020 0.073 0.907
   750 16867  4776  3535  1259    50  0.024 0.077 0.900 0.020 0.073 0.908
   755 16589  4826  3399  1344    50  0.023 0.077 0.900 0.019 0.073 0.908
   760 16473  4608  3518  1262    50  0.023 0.077 0.900 0.020 0.072 0.908
   765 16441  4830  3460  1252    50  0.023 0.076 0.901 0.019 0.072 0.908
   770 16271  4661  3462  1249    50  0.023 0.076 0.901 0.019 0.072 0.909
   775 16505  4699  3501  1258    50  0.023 0.076 0.901 0.019 0.071 0.910
   780 16138  4728  3393  1197    50  0.023 0.076 0.901 0.019 0.071 0.910
   785 16404  4582  3514  1300    50  0.023 0.075 0.902 0.019 0.071 0.910
   790 16041  4689  3305  1181    50  0.023 0.075 0.902 0.019 0.071 0.911
   795 16187  4703  3404  1156    50  0.023 0.075 0.902 0.019 0.070 0.911
   800 16033  4628  3338  1202    50  0.023 0.074 0.903 0.019 0.070 0.911
   805 15956  4730  3347  1253    50  0.023 0.074 0.903 0.019 0.070 0.911
   810 16002  4654  3463  1221    50  0.023 0.074 0.903 0.019 0.069 0.912
   815 15931  4511  3369  1210    50  0.023 0.073 0.904 0.019 0.069 0.911
   820 15639  4537  3284  1179    50  0.023 0.073 0.904 0.019 0.069 0.912
   825 15622  4488  3398  1184    50  0.023 0.073 0.904 0.019 0.069 0.912
   830 15593  4488  3321  1126    50  0.023 0.073 0.904 0.019 0.069 0.912
   835 15518  4393  3375  1061    50  0.023 0.073 0.904 0.019 0.068 0.912
   840 15465  4410  3334  1106    50  0.023 0.073 0.904 0.019 0.068 0.913
   845 15393  4364  3285  1240    50  0.023 0.072 0.905 0.019 0.068 0.913
   850 15528  4476  3275  1124    50  0.023 0.072 0.905 0.019 0.068 0.913
