trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_lbeta_1_2.000,300,38890,3945,47163,54920,426,34652,51108,0,28073,20021,35078,0,2760,31952
temp_ubeta_1_0.500,300,35971,0,54027,53143,0,36855,54026,0,0,54023,36855,0,0,36855
temp_ubeta_1_0.667,300,47156,0,42842,59488,0,30510,42842,0,0,42833,30510,0,0,30510
temp_ubeta_1_0.800,300,55504,0,34494,64543,0,25455,34494,0,0,34494,25455,0,0,25455
temp_ubeta_1_1.000,300,66383,0,23615,71613,0,18385,23615,0,0,23597,18385,0,0,18385
temp_ubeta_1_1.250,300,74911,0,15087,77562,0,12436,15087,0,0,15041,12436,0,0,12428
temp_ubeta_1_1.500,300,79469,0,10529,81007,0,8991,10529,0,0,10325,8991,0,0,8976
temp_ubeta_1_2.000,300,87757,0,2241,87954,0,2044,2241,0,0,1824,2044,0,0,2022
temp_lbeta_1_0.500,325,10654,22711,56633,40248,495,49255,79344,48,32477,15131,49750,0,656,48154
temp_lbeta_1_0.667,325,11445,24847,53706,40854,548,48596,78553,6,40722,15065,49144,0,825,47667
temp_lbeta_1_0.800,325,11959,19344,58695,40847,463,48688,78039,0,46391,14775,49151,0,1111,47478
temp_lbeta_1_1.000,325,13874,15325,60799,41932,441,47625,76124,0,49930,14629,48066,0,1491,46115
temp_lbeta_1_1.250,325,20278,16018,53702,44909,677,44412,69720,0,43043,19092,45089,0,2101,42546
temp_lbeta_1_1.500,325,29952,9169,50877,49923,681,39394,60046,0,32531,22864,40075,0,2599,37028
temp_lbeta_1_2.000,325,38832,4783,46383,54708,470,34820,51166,0,27651,20398,35290,0,2877,32018
temp_ubeta_1_0.500,325,36111,0,53887,53224,0,36774,53886,0,0,53884,36774,0,0,36774
temp_ubeta_1_0.667,325,47458,0,42540,59730,0,30268,42540,0,0,42539,30268,0,0,30268
temp_ubeta_1_0.800,325,55375,0,34623,64404,0,25594,34623,0,0,34614,25594,0,0,25594
temp_ubeta_1_1.000,325,66195,0,23803,71431,0,18567,23803,0,0,23786,18567,0,0,18567
temp_ubeta_1_1.250,325,76006,0,13992,78402,0,11596,13992,0,0,13964,11596,0,0,11596
temp_ubeta_1_1.500,325,80624,0,9374,81942,0,8056,9374,0,0,9283,8056,0,0,8037
temp_ubeta_1_2.000,325,88297,0,1701,88447,0,1551,1701,0,0,1485,1551,0,0,1534
temp_lbeta_1_0.500,350,10459,22566,56973,40146,466,49386,79539,32,33055,15269,49852,0,664,48374
temp_lbeta_1_0.667,350,11005,24214,54779,40226,461,49311,78993,5,41986,14864,49772,0,784,48339
temp_lbeta_1_0.800,350,12057,19378,58563,40982,420,48596,77941,4,46220,14774,49016,0,1008,47418
temp_lbeta_1_1.000,350,13885,15097,61016,42025,366,47607,76113,0,50383,14344,47973,0,1294,46262
temp_lbeta_1_1.250,350,18492,17142,54364,44202,616,45180,71506,0,47498,16657,45796,0,1895,43541
temp_lbeta_1_1.500,350,28079,9599,52320,49056,607,40335,61919,0,35506,21287,40942,0,2560,37912
temp_lbeta_1_2.000,350,38466,5199,46333,54598,467,34933,51532,0,28572,19928,35400,0,3129,31861
temp_ubeta_1_0.500,350,36078,0,53920,53301,0,36697,53919,0,0,53920,36694,0,0,36697
temp_ubeta_1_0.667,350,47265,0,42733,59467,0,30531,42733,0,0,42724,30531,0,0,30528
temp_ubeta_1_0.800,350,55968,0,34030,64703,0,25295,34030,0,0,34021,25295,0,0,25293
temp_ubeta_1_1.000,350,66219,0,23779,71515,0,18483,23779,0,0,23758,18483,0,0,18480
temp_ubeta_1_1.250,350,76950,0,13048,79189,0,10809,13048,0,0,13021,10809,0,0,10806
temp_ubeta_1_1.500,350,81751,0,8247,82879,0,7119,8247,0,0,8181,7119,0,0,7114
temp_ubeta_1_2.000,350,88740,0,1258,88829,0,1169,1258,0,0,1194,1169,0,0,1164
temp_lbeta_1_0.500,375,10442,22590,56966,40215,396,49387,79555,20,33372,15226,49783,0,614,48329
temp_lbeta_1_0.667,375,11346,23437,55215,40645,499,48854,78652,2,42050,14991,49353,0,898,47818
temp_lbeta_1_0.800,375,12340,17829,59829,41018,390,48590,77658,1,45862,14660,48980,0,1045,47394
temp_lbeta_1_1.000,375,13811,14150,62037,41625,371,48002,76187,1,50425,14390,48373,0,1396,46516
temp_lbeta_1_1.250,375,17409,17069,55520,43670,554,45774,72589,0,50603,14952,46328,0,1962,44055
temp_lbeta_1_1.500,375,25807,9784,54407,47864,565,41569,64191,0,39016,20076,42134,0,2595,39060
temp_lbeta_1_2.000,375,38391,5421,46186,54386,432,35180,51607,0,28801,19802,35612,0,3194,31960
temp_ubeta_1_0.500,375,36030,0,53968,53307,0,36691,53968,0,0,53965,36691,0,0,36691
temp_ubeta_1_0.667,375,47342,0,42656,59461,0,30537,42656,0,0,42655,30537,0,0,30537
