trt,gen,zero1,lt151,gt151,zero2,lt152,gt152,tot1,spo1,veg1,mat1,tot2,spo2,veg2,mat2
temp_unlink_2_0.70,475,66577,0,23421,71614,0,18384,23421,0,0,23412,18384,0,0,18380
temp_unlink_2_0.90,475,19265,50112,20621,45819,28421,15758,70733,0,7812,0,44179,0,3497,0
temp_unlink_3_0.10,475,14610,10005,65383,43209,6277,40512,75388,0,60089,0,46789,0,35249,0
temp_unlink_3_0.30,475,14512,23297,52189,43358,14384,32256,75486,0,59748,0,46639,0,34947,0
temp_unlink_3_0.50,475,14688,38546,36764,43267,23900,22831,75310,0,57421,0,46731,0,33481,0
temp_unlink_3_0.70,475,14872,51788,23338,43542,31952,14504,75126,0,57804,0,46456,0,33650,0
temp_unlink_3_0.90,475,14893,65256,9849,43766,40049,6183,75104,0,56763,0,46232,0,32842,0
temp_link_0_0.10,500,13963,11971,64064,42001,336,47661,76035,1,50785,14451,47997,3,1331,46236
temp_link_0_0.30,500,13810,36625,39563,41761,1065,47172,76188,0,50896,14344,48237,0,1373,46497
temp_link_0_0.50,500,13848,56781,19369,41913,1736,46349,76150,1,50716,14545,48085,0,1500,46205
temp_link_0_0.70,500,13867,60452,15679,41885,1734,46379,76130,0,50982,14497,48113,0,1401,46340
temp_link_0_0.90,500,13761,62003,14234,41653,1763,46582,76237,0,50989,14234,48345,0,1333,46582
temp_link_1_0.10,500,13724,18233,58041,41765,488,47745,76273,0,51167,14359,48233,0,1482,46372
temp_link_1_0.30,500,13679,42702,33617,41859,1162,46977,76319,0,50448,14455,48139,0,1365,46378
temp_link_1_0.50,500,13636,57654,18708,41710,1630,46658,76362,0,51502,14288,48288,0,1419,46503
temp_link_1_0.70,500,13832,61323,14843,42131,1840,46027,76165,0,50936,14594,47867,0,1450,46022
temp_link_1_0.90,500,13737,61654,14607,41843,1842,46313,76260,0,51007,14606,48155,0,1388,46313
temp_link_2_0.10,500,22979,13684,53335,46103,1436,42459,67019,0,29429,27922,43895,0,3200,39437
temp_link_2_0.30,500,20984,27952,41062,45415,5348,39235,69014,0,32238,26420,44583,0,6210,36013
temp_link_2_0.50,500,18078,41377,30543,44089,13307,32602,71920,1,37058,23415,45909,0,11591,29950
temp_link_2_0.70,500,15528,55168,19302,43282,25860,20856,74469,5,43049,15702,46715,11,19213,18675
temp_link_2_0.90,500,14000,66737,9261,42942,38698,8358,75998,492,47665,2975,47056,294,25965,3008
temp_link_3_0.10,500,13845,9797,66356,42671,6086,41241,76152,858,48680,148,47327,553,27689,131
temp_link_3_0.30,500,13915,24407,51676,42909,14950,32139,76083,935,48665,124,47089,555,27589,88
temp_link_3_0.50,500,13985,37713,38300,43147,23500,23351,76013,721,47896,149,46851,516,26990,112
